SKU,Part Number,Brand,Model,Current Title,Price Tier
CEYBO-001,BN59-01178B,Samsung,UN55F6300,Samsung Remote,Premium
CEYBO-002,3026Q00T73,Onn,50" 4K UHD,,Budget
CEYBO-003,AKB75855501,LG,65NANO90UNA,LG Smart TV Remote,Premium
CEYBO-004,NH315UP,Sanyo,FW50D36F,Old Sanyo Remote,Budget
CEYBO-005,XRT136,Vizio,D40f-G9,Vizio Remote Control,Mid-Range
CEYBO-006,EN2A27,Hisense,50H6D,Hisense TV Remote,Budget
CEYBO-007,RC280,TCL,55S405,TCL Roku Remote,Mid-Range
CEYBO-008,AKB74915305,LG,55UH6150,LG Magic Remote,Premium
CEYBO-009,BN59-01301A,Samsung,UN65NU6900,Samsung 4K Remote,Premium
CEYBO-010,CT-RC1US-19,Toshiba,55LF711U20,Toshiba Fire TV Remote,Mid-Range
CEYBO-011,XRT510,Vizio,M55-C2,Vizio Smart Remote,Premium
CEYBO-012,RC-AL5,Sony,KDL-40R510C,Sony Bravia Remote,Premium
CEYBO-013,AKB75095307,LG,43LJ5500,Basic LG Remote,Budget
CEYBO-014,BN59-01315J,Samsung,UN43TU7000,Samsung Crystal Remote,Mid-Range
CEYBO-015,NH409UD,Emerson,LF501EM5F,,Budget
